Experience,Date,Band,Source,ICRF3 Cat.,Flux (Jy),Structure index,Compactness,Map Quality
RDV69,2008-05-14 00:00:00.000,X-band,0745+241,ND,1.36,1.64,0.72,
RDV4,1997-07-24 00:00:00.000,X-band,0851+202,ND,1.36,2.5,0.74,
RDV90,2011-12-20 00:00:00.000,X-band,0716+714,D,1.34,2.04,0.78,2878.56
RDV84,2010-12-07 00:00:00.000,X-band,0743-006,D,1.32,3.23,0.35,1865.76
B9725A,1997-01-10 00:00:00.000,X-band,0754+100,ND,1.32,2.57,0.61,
RV122,2017-04-25 00:00:00.000,X-band,0834-201,D,1.32,2.45,0.66,2651.95
RDV84,2010-12-07 00:00:00.000,X-band,0716+714,D,1.29,1.86,0.89,2474.89
B9725B,1997-01-11 00:00:00.000,X-band,0736+017,D,1.29,3.12,0.62,
RDV51,2005-06-29 00:00:00.000,X-band,0823+033,ND,1.29,2.38,0.83,3318.98
RV124,2017-07-17 00:00:00.000,X-band,0805+410,D,1.28,2.16,0.86,2613.04
RDV20,2000-03-13 00:00:00.000,X-band,0859-140,ND,1.28,3.81,0.26,1740.12
RV122,2017-04-25 00:00:00.000,X-band,0736+017,D,1.27,2.23,0.84,3052.05
RDV42,2003-12-17 00:00:00.000,X-band,0823+033,ND,1.26,3.02,0.55,1250.29
RDV26,2001-03-12 00:00:00.000,X-band,0748+126,D,1.25,3.0,0.57,1092.89
RDV20,2000-03-13 00:00:00.000,X-band,0754+100,ND,1.23,4.02,0.52,1485.19
RDV66,2007-12-05 00:00:00.000,X-band,0823+033,ND,1.23,2.48,0.71,2728.53
BL122B,2005-08-26 00:00:00.000,X-band,0838+133,ND,1.23,3.15,0.37,
RDV67,2008-01-23 00:00:00.000,X-band,0736+017,D,1.22,1.16,0.82,
RV114,2015-12-02 00:00:00.000,X-band,0808+019,D,1.22,2.16,0.87,3231.19
RDV62,2007-03-27 00:00:00.000,X-band,0823+033,ND,1.2,2.46,0.77,2814.49
BR9525,1995-04-12 00:00:00.000,X-band,0823+033,ND,1.2,2.91,0.56,
RDV10,1998-08-10 00:00:00.000,X-band,0804+499,D,1.18,1.23,0.83,
RDV66,2007-12-05 00:00:00.000,X-band,0736+017,D,1.17,2.7,0.64,2060.92
RDV2,1997-03-31 00:00:00.000,X-band,0851+202,ND,1.16,3.04,0.6,
RDV3,1997-05-19 00:00:00.000,X-band,0851+202,ND,1.16,2.42,0.66,
RDV4,1997-07-24 00:00:00.000,X-band,0823+033,ND,1.15,2.46,0.62,
RDV1,1997-01-30 00:00:00.000,X-band,0823+033,ND,1.14,3.27,0.56,
RDV1,1997-01-30 00:00:00.000,X-band,0851+202,ND,1.13,3.17,0.63,
RDV78,2009-12-02 00:00:00.000,X-band,0754+100,ND,1.12,2.6,0.72,1770.92
RDV2,1997-03-31 00:00:00.000,X-band,0823+033,ND,1.12,3.13,0.58,
RDV5,1997-09-08 00:00:00.000,X-band,0823+033,ND,1.12,3.14,0.64,
RDV77,2009-10-07 00:00:00.000,X-band,0827+243,ND,1.12,1.64,0.73,
B9725B,1997-01-11 00:00:00.000,X-band,0859-140,ND,1.12,3.55,0.45,
BL122B,2005-08-26 00:00:00.000,X-band,0754+100,ND,1.11,2.88,0.59,
BR9525,1995-04-12 00:00:00.000,X-band,0749+540,D,1.1,1.56,0.76,
BR9525,1995-04-12 00:00:00.000,X-band,0808+019,D,1.1,1.56,0.92,
BL115C,2004-02-15 00:00:00.000,X-band,0823+033,ND,1.1,2.51,0.63,
RDV8,1998-04-15 00:00:00.000,X-band,0821+394,ND,1.09,2.11,0.78,
RDV71,2008-09-03 00:00:00.000,X-band,0823+033,ND,1.09,3.23,0.68,
RDV26,2001-03-12 00:00:00.000,X-band,0823+033,ND,1.08,2.85,0.7,1362.13
RDV62,2007-03-27 00:00:00.000,X-band,0859+470,ND,1.08,3.17,0.48,2061.47
RDV71,2008-09-03 00:00:00.000,X-band,0859+470,ND,1.07,3.02,0.46,
RDV3,1997-05-19 00:00:00.000,X-band,0823+033,ND,1.06,2.85,0.57,
RDV92,2012-04-18 00:00:00.000,X-band,0716+714,D,1.05,1.8,0.81,4146.61
BR9525,1995-04-12 00:00:00.000,X-band,0723-008,ND,1.05,3.3,0.35,
RDV6,1997-12-17 00:00:00.000,X-band,0823+033,ND,1.05,2.7,0.67,
RDV45,2004-07-14 00:00:00.000,X-band,0823+033,ND,1.04,2.5,0.58,
RV116,2016-02-09 00:00:00.000,X-band,0716+714,D,1.02,2.33,0.79,1967.99
B9725A,1997-01-10 00:00:00.000,X-band,0821+394,ND,1.02,2.71,0.62,
BL122B,2005-08-26 00:00:00.000,X-band,0827+243,ND,1.02,2.2,0.68,
RDV78,2009-12-02 00:00:00.000,X-band,0859-140,ND,1.02,4.16,0.25,1220.34
RDV75,2009-05-13 00:00:00.000,X-band,0716+714,D,1.0,1.6,0.77,
RV112,2015-07-15 00:00:00.000,X-band,0808+019,D,1.0,2.36,0.79,2209.81
RDV67,2008-01-23 00:00:00.000,X-band,0823+033,ND,0.99,2.23,0.76,
B9725B,1997-01-11 00:00:00.000,X-band,0851+202,ND,0.99,2.82,0.63,
B9725A,1997-01-10 00:00:00.000,X-band,0851+202,ND,0.99,2.74,0.62,
RDV66,2007-12-05 00:00:00.000,X-band,0859-140,ND,0.99,4.07,0.28,1727.93
RDV59,2006-09-13 00:00:00.000,X-band,0823+033,ND,0.98,1.92,0.75,
RDV7,1998-02-09 00:00:00.000,X-band,0823+033,ND,0.97,2.64,0.65,
RDV82,2010-10-13 00:00:00.000,X-band,0847-120,D,0.97,1.95,0.87,3189.86
RDV71,2008-09-03 00:00:00.000,X-band,0754+100,ND,0.96,2.7,0.63,
RDV5,1997-09-08 00:00:00.000,X-band,0804+499,D,0.96,1.46,0.84,
RDV8,1998-04-15 00:00:00.000,X-band,0823+033,ND,0.96,2.82,0.63,
RV124,2017-07-17 00:00:00.000,X-band,0808+019,D,0.95,2.11,0.9,2689.23
B9725A,1997-01-10 00:00:00.000,X-band,0814+425,ND,0.93,2.54,0.59,
RDV31,2002-01-16 00:00:00.000,X-band,0827+243,ND,0.93,2.53,0.71,
BR9525,1995-04-12 00:00:00.000,X-band,0707+476,ND,0.92,2.58,0.68,
BL122B,2005-08-26 00:00:00.000,X-band,0749+540,D,0.92,2.54,0.75,
RDV26,2001-03-12 00:00:00.000,X-band,0805-077,ND,0.91,3.21,0.66,1254.89
RDG953,1995-10-02 00:00:00.000,X-band,0805+410,D,0.91,2.01,0.76,
BL122B,2005-08-26 00:00:00.000,X-band,0735+178,ND,0.9,3.17,0.49,
RDV82,2010-10-13 00:00:00.000,X-band,0745+241,ND,0.9,2.7,0.64,1662.41
RDV68,2008-04-02 00:00:00.000,X-band,0823+033,ND,0.9,3.23,0.66,1392.17
RDV10,1998-08-10 00:00:00.000,X-band,0823+033,ND,0.9,3.03,0.62,
